iter	Passed	Remaining
0	0	21
1	0	22
2	0	20
3	0	18
4	1	20
5	1	19
6	1	19
7	1	19
8	1	19
9	2	19
10	2	18
11	2	18
12	2	18
13	2	18
14	3	18
15	3	17
16	3	17
17	3	17
18	4	17
19	4	16
20	4	16
21	4	16
22	4	16
23	5	15
24	5	15
25	5	15
26	5	15
27	5	15
28	6	14
29	6	14
30	6	14
31	6	14
32	6	14
33	7	13
34	7	13
35	7	13
36	7	13
37	8	13
38	8	12
39	8	12
40	8	12
41	8	12
42	8	11
43	9	11
44	10	12
45	10	12
46	10	11
47	10	11
48	10	11
49	11	11
50	11	10
51	11	10
52	11	10
53	12	10
54	12	9
55	12	9
56	12	9
57	13	9
58	13	9
59	13	9
60	14	8
61	14	9
62	15	8
63	15	8
64	15	8
65	15	8
66	16	8
67	16	7
68	16	7
69	17	7
70	17	7
71	17	6
72	18	6
73	18	6
74	18	6
75	18	5
76	18	5
77	19	5
78	19	5
79	19	4
80	19	4
81	20	4
82	20	4
83	20	3
84	21	3
85	21	3
86	21	3
87	21	2
88	22	2
89	22	2
90	22	2
91	22	1
92	23	1
93	23	1
94	23	1
95	23	0
96	24	0
97	24	0
98	24	0
99	24	0
