iter	Passed	Remaining
0	57	57743
1	58	28986
2	58	19425
3	58	14634
4	59	11833
5	59	9906
6	60	8530
7	60	7494
8	60	6684
9	61	6039
10	61	5516
11	61	5080
12	61	4703
13	62	4384
14	62	4108
15	62	3868
16	63	3656
17	63	3465
18	63	3300
19	64	3144
20	64	3003
21	64	2878
22	65	2765
23	65	2660
24	65	2561
25	65	2470
26	66	2386
27	66	2308
28	66	2237
29	67	2171
30	67	2108
31	67	2049
32	68	1992
33	68	1942
34	68	1891
35	68	1845
36	69	1800
37	69	1760
38	69	1719
39	70	1682
40	70	1645
41	70	1610
42	70	1577
43	71	1546
44	71	1515
45	71	1489
46	72	1462
47	72	1435
48	72	1409
49	72	1385
50	73	1364
51	73	1341
52	73	1319
53	74	1298
54	74	1277
55	74	1258
56	74	1239
57	75	1220
58	75	1202
59	75	1185
60	75	1168
61	76	1153
62	76	1137
63	76	1121
64	76	1107
65	77	1093
66	77	1078
67	77	1065
68	78	1053
69	78	1040
70	78	1027
71	78	1016
72	79	1006
73	79	996
74	79	986
75	80	975
76	80	964
77	81	963
78	81	953
79	82	943
80	82	933
81	82	923
82	82	912
83	82	903
84	83	894
85	83	885
86	83	876
87	83	868
88	84	859
89	84	852
90	84	844
91	84	836
92	85	829
93	85	822
94	85	815
95	85	808
96	86	801
97	86	794
98	86	787
99	86	780
100	87	774
101	87	768
102	87	762
103	87	756
104	88	750
105	88	744
106	88	739
107	88	734
108	89	728
109	89	723
110	89	717
111	89	712
112	90	707
113	90	702
114	90	697
115	90	692
116	91	686
117	91	682
118	91	677
119	91	673
120	92	669
121	92	664
122	92	660
123	92	655
124	93	651
125	93	647
126	93	642
127	93	638
128	94	635
129	94	631
130	94	627
131	94	623
132	95	620
133	95	617
134	95	613
135	95	609
136	96	606
137	96	602
138	96	599
139	96	595
140	97	592
141	97	588
142	97	585
143	97	582
144	98	579
145	98	576
146	98	574
147	99	571
148	99	568
149	99	565
150	100	562
151	100	559
152	100	556
153	100	553
154	100	550
155	101	547
156	101	544
157	101	541
158	101	538
159	102	536
160	102	532
161	102	530
162	102	527
163	102	524
164	103	522
165	103	519
166	103	517
167	103	514
168	104	511
169	104	509
170	104	507
171	104	505
172	105	503
173	105	500
174	105	498
175	106	496
176	106	495
177	106	493
178	107	490
179	107	488
180	107	486
181	107	484
182	108	482
183	108	480
184	108	478
185	108	476
186	109	474
187	109	472
188	109	470
189	109	468
190	110	466
191	110	464
192	110	462
193	110	460
194	111	458
195	111	456
196	111	455
197	111	453
198	112	451
199	112	449
200	112	448
201	112	446
202	113	444
203	113	442
204	113	440
205	113	438
206	114	436
207	114	435
208	114	433
209	114	431
210	114	429
211	114	427
212	115	425
213	115	423
214	115	422
215	115	420
216	116	419
217	116	417
218	116	415
219	116	414
220	116	412
221	117	410
222	117	409
223	117	407
224	117	405
225	118	404
226	118	405
227	119	403
228	119	401
229	119	400
230	119	399
231	120	397
232	120	395
233	120	394
234	120	392
235	120	391
236	121	389
237	121	388
238	121	386
239	121	385
240	121	383
241	122	384
242	122	382
243	123	381
244	123	380
245	123	378
246	123	377
247	124	376
248	124	374
249	124	373
250	124	372
251	124	370
252	125	369
253	125	368
254	125	367
255	125	366
256	126	365
257	126	363
258	126	362
259	127	361
260	127	360
261	127	359
262	127	357
263	127	356
264	128	355
265	128	354
266	128	353
267	128	352
268	129	351
269	129	350
270	129	348
271	130	348
272	130	346
273	130	345
274	130	344
275	130	343
276	131	342
277	131	341
278	131	340
279	132	339
280	132	338
281	132	337
282	132	336
283	133	337
284	134	336
285	134	335
286	134	334
287	134	333
288	135	332
289	135	331
290	135	330
291	135	329
292	136	328
293	136	327
294	136	326
295	136	325
296	137	324
297	137	323
298	137	322
299	137	321
300	138	320
301	138	319
302	138	318
303	138	317
304	139	316
305	139	315
306	139	314
307	139	314
308	140	313
309	140	312
310	140	311
311	140	310
312	140	309
313	141	308
314	141	307
315	141	306
316	141	305
317	142	305
318	142	304
319	142	303
320	143	302
321	143	301
322	143	300
323	143	299
324	144	299
325	144	298
326	144	297
327	144	296
328	145	295
329	145	294
330	145	294
331	145	293
332	146	292
333	146	292
334	146	291
335	146	290
336	147	289
337	147	288
338	147	287
339	147	287
340	148	286
341	148	285
342	148	285
343	149	285
344	150	285
345	150	284
346	150	283
347	150	282
348	151	282
349	151	281
350	151	280
351	152	279
352	152	279
353	152	278
354	152	277
355	153	277
356	153	276
357	153	275
358	153	274
359	154	274
360	154	273
361	154	272
362	154	271
363	155	271
364	155	270
365	155	269
366	156	269
367	156	268
368	156	267
369	156	267
370	157	266
371	157	265
372	157	265
373	158	264
374	158	263
375	158	263
376	158	262
377	158	261
378	159	260
379	159	260
380	159	259
381	160	258
382	160	258
383	160	257
384	160	256
385	161	256
386	161	255
387	161	255
388	161	254
389	162	253
390	162	253
391	162	252
392	162	251
393	163	251
394	163	250
395	163	249
396	164	249
397	164	248
398	164	248
399	165	247
400	165	247
401	165	246
402	165	245
403	166	245
404	166	244
405	166	243
406	166	243
407	167	242
408	167	241
409	167	241
410	167	240
411	168	240
412	168	239
413	168	238
414	168	238
415	169	237
416	169	237
417	169	236
418	170	235
419	170	235
420	170	234
421	170	233
422	171	233
423	171	232
424	171	231
425	171	231
426	171	230
427	172	230
428	172	229
429	172	229
430	173	228
431	173	227
432	173	227
433	173	226
434	174	226
435	174	225
436	174	224
437	174	224
438	175	223
439	175	223
440	175	222
441	175	221
442	175	221
443	176	220
444	176	220
445	176	219
446	176	218
447	177	218
448	177	217
449	177	217
450	177	216
